Model,Accuracy,Precision,Recall,F1
Linear SVM,0.9841214038788305,0.9800846972645073,0.9887990762124711,0.9844226015979767
Random Forest,0.9819534774711431,0.9832214765100671,0.9811778290993072,0.9821985897584095
Logistic Regression,0.9793754028241636,0.975394827191577,0.9841801385681294,0.9797677894010806
Naive Bayes,0.9527157672701705,0.9830237421577069,0.9227482678983834,0.9519328131514683
